id,linguagem,dificuldade,pergunta,alternativa_a,alternativa_b,alternativa_c,alternativa_d,resposta_correta,palavra_chave,explicacao
PYQ18,Python,Simples,O que a palavra-chave 'print' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Cria condição,print,A palavra-chave print é usada frequentemente em Python.
PYQ19,Python,Dificil,O que a palavra-chave 'print' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Cria condição,print,A palavra-chave print é usada frequentemente em Python.
PYQ20,Python,Simples,O que a palavra-chave 'while' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Armazena dados,while,A palavra-chave while é usada frequentemente em Python.
PYQ21,Python,Hard,O que a palavra-chave 'funcao' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Armazena dados,funcao,A palavra-chave funcao é usada frequentemente em Python.
PYQ22,Python,Media,O que a palavra-chave 'for' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Armazena dados,for,A palavra-chave for é usada frequentemente em Python.
PYQ23,Python,Media,O que a palavra-chave 'funcao' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Armazena dados,funcao,A palavra-chave funcao é usada frequentemente em Python.
PYQ24,Python,Simples,O que a palavra-chave 'lista' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Cria condição,lista,A palavra-chave lista é usada frequentemente em Python.
PYQ25,Python,Media,O que a palavra-chave 'if' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Define comportamento,if,A palavra-chave if é usada frequentemente em Python.
PYQ26,Python,Hard,O que a palavra-chave 'for' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Cria condição,for,A palavra-chave for é usada frequentemente em Python.
PYQ27,Python,Dificil,O que a palavra-chave 'dicionario' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Executa repetição,dicionario,A palavra-chave dicionario é usada frequentemente em Python.
PYQ28,Python,Media,O que a palavra-chave 'dicionario' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Executa repetição,dicionario,A palavra-chave dicionario é usada frequentemente em Python.
PYQ29,Python,Dificil,O que a palavra-chave 'while' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Armazena dados,while,A palavra-chave while é usada frequentemente em Python.
PYQ30,Python,Simples,O que a palavra-chave 'if' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Armazena dados,if,A palavra-chave if é usada frequentemente em Python.
PYQ31,Python,Media,O que a palavra-chave 'funcao' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Define comportamento,funcao,A palavra-chave funcao é usada frequentemente em Python.
PYQ32,Python,Hard,O que a palavra-chave 'funcao' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Define comportamento,funcao,A palavra-chave funcao é usada frequentemente em Python.
PYQ33,Python,Media,O que a palavra-chave 'for' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Cria condição,for,A palavra-chave for é usada frequentemente em Python.
PYQ34,Python,Media,O que a palavra-chave 'funcao' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Armazena dados,funcao,A palavra-chave funcao é usada frequentemente em Python.
PYQ35,Python,Hard,O que a palavra-chave 'lista' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Define comportamento,lista,A palavra-chave lista é usada frequentemente em Python.
PYQ36,Python,Dificil,O que a palavra-chave 'if' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Cria condição,if,A palavra-chave if é usada frequentemente em Python.
PYQ37,Python,Hard,O que a palavra-chave 'print' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Executa repetição,print,A palavra-chave print é usada frequentemente em Python.
PYQ38,Python,Simples,O que a palavra-chave 'if' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Cria condição,if,A palavra-chave if é usada frequentemente em Python.
PYQ39,Python,Hard,O que a palavra-chave 'lista' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Executa repetição,lista,A palavra-chave lista é usada frequentemente em Python.
PYQ40,Python,Hard,O que a palavra-chave 'while' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Define comportamento,while,A palavra-chave while é usada frequentemente em Python.
PYQ41,Python,Dificil,O que a palavra-chave 'lista' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Executa repetição,lista,A palavra-chave lista é usada frequentemente em Python.
PYQ42,Python,Simples,O que a palavra-chave 'funcao' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Armazena dados,funcao,A palavra-chave funcao é usada frequentemente em Python.
PYQ43,Python,Dificil,O que a palavra-chave 'print' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Armazena dados,print,A palavra-chave print é usada frequentemente em Python.
PYQ44,Python,Hard,O que a palavra-chave 'if' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Define comportamento,if,A palavra-chave if é usada frequentemente em Python.
PYQ45,Python,Simples,O que a palavra-chave 'funcao' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Armazena dados,funcao,A palavra-chave funcao é usada frequentemente em Python.
PYQ46,Python,Media,O que a palavra-chave 'lista' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Executa repetição,lista,A palavra-chave lista é usada frequentemente em Python.
PYQ47,Python,Dificil,O que a palavra-chave 'dicionario' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Cria condição,dicionario,A palavra-chave dicionario é usada frequentemente em Python.
PYQ48,Python,Media,O que a palavra-chave 'for' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Cria condição,for,A palavra-chave for é usada frequentemente em Python.
PYQ49,Python,Simples,O que a palavra-chave 'lista' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Armazena dados,lista,A palavra-chave lista é usada frequentemente em Python.
PYQ50,Python,Hard,O que a palavra-chave 'print' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Executa repetição,print,A palavra-chave print é usada frequentemente em Python.
PYQ51,Python,Dificil,O que a palavra-chave 'dicionario' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Armazena dados,dicionario,A palavra-chave dicionario é usada frequentemente em Python.
PYQ52,Python,Media,O que a palavra-chave 'print' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Cria condição,print,A palavra-chave print é usada frequentemente em Python.
PYQ53,Python,Simples,O que a palavra-chave 'print' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Define comportamento,print,A palavra-chave print é usada frequentemente em Python.
PYQ54,Python,Simples,O que a palavra-chave 'dicionario' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Cria condição,dicionario,A palavra-chave dicionario é usada frequentemente em Python.
PYQ55,Python,Media,O que a palavra-chave 'funcao' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Define comportamento,funcao,A palavra-chave funcao é usada frequentemente em Python.
PYQ56,Python,Media,O que a palavra-chave 'for' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Define comportamento,for,A palavra-chave for é usada frequentemente em Python.
PYQ57,Python,Media,O que a palavra-chave 'lista' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Cria condição,lista,A palavra-chave lista é usada frequentemente em Python.
PYQ58,Python,Dificil,O que a palavra-chave 'while' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Armazena dados,while,A palavra-chave while é usada frequentemente em Python.
PYQ59,Python,Hard,O que a palavra-chave 'lista' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Define comportamento,lista,A palavra-chave lista é usada frequentemente em Python.
PYQ60,Python,Simples,O que a palavra-chave 'if' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Cria condição,if,A palavra-chave if é usada frequentemente em Python.
PYQ61,Python,Simples,O que a palavra-chave 'for' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Executa repetição,for,A palavra-chave for é usada frequentemente em Python.
PYQ62,Python,Media,O que a palavra-chave 'lista' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Cria condição,lista,A palavra-chave lista é usada frequentemente em Python.
PYQ63,Python,Simples,O que a palavra-chave 'print' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Executa repetição,print,A palavra-chave print é usada frequentemente em Python.
PYQ64,Python,Media,O que a palavra-chave 'print' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Executa repetição,print,A palavra-chave print é usada frequentemente em Python.
PYQ65,Python,Dificil,O que a palavra-chave 'print' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Cria condição,print,A palavra-chave print é usada frequentemente em Python.
PYQ66,Python,Dificil,O que a palavra-chave 'funcao' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Define comportamento,funcao,A palavra-chave funcao é usada frequentemente em Python.
PYQ67,Python,Media,O que a palavra-chave 'lista' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Cria condição,lista,A palavra-chave lista é usada frequentemente em Python.
PYQ68,Python,Hard,O que a palavra-chave 'if' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Define comportamento,if,A palavra-chave if é usada frequentemente em Python.
PYQ69,Python,Hard,O que a palavra-chave 'if' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Executa repetição,if,A palavra-chave if é usada frequentemente em Python.
PYQ70,Python,Simples,O que a palavra-chave 'funcao' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Define comportamento,funcao,A palavra-chave funcao é usada frequentemente em Python.
PYQ71,Python,Dificil,O que a palavra-chave 'while' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Define comportamento,while,A palavra-chave while é usada frequentemente em Python.
PYQ72,Python,Hard,O que a palavra-chave 'dicionario' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Executa repetição,dicionario,A palavra-chave dicionario é usada frequentemente em Python.
PYQ73,Python,Simples,O que a palavra-chave 'print' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Define comportamento,print,A palavra-chave print é usada frequentemente em Python.
PYQ74,Python,Dificil,O que a palavra-chave 'dicionario' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Executa repetição,dicionario,A palavra-chave dicionario é usada frequentemente em Python.
PYQ75,Python,Media,O que a palavra-chave 'if' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Cria condição,if,A palavra-chave if é usada frequentemente em Python.
PYQ76,Python,Hard,O que a palavra-chave 'if' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Define comportamento,if,A palavra-chave if é usada frequentemente em Python.
PYQ77,Python,Media,O que a palavra-chave 'for' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Define comportamento,for,A palavra-chave for é usada frequentemente em Python.
PYQ78,Python,Media,O que a palavra-chave 'dicionario' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Executa repetição,dicionario,A palavra-chave dicionario é usada frequentemente em Python.
PYQ79,Python,Hard,O que a palavra-chave 'dicionario' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Executa repetição,dicionario,A palavra-chave dicionario é usada frequentemente em Python.
PYQ80,Python,Simples,O que a palavra-chave 'funcao' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Executa repetição,funcao,A palavra-chave funcao é usada frequentemente em Python.
PYQ81,Python,Simples,O que a palavra-chave 'dicionario' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Cria condição,dicionario,A palavra-chave dicionario é usada frequentemente em Python.
PYQ82,Python,Media,O que a palavra-chave 'while' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Define comportamento,while,A palavra-chave while é usada frequentemente em Python.
PYQ83,Python,Hard,O que a palavra-chave 'if' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Define comportamento,if,A palavra-chave if é usada frequentemente em Python.
PYQ84,Python,Simples,O que a palavra-chave 'if' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Define comportamento,if,A palavra-chave if é usada frequentemente em Python.
PYQ85,Python,Simples,O que a palavra-chave 'while' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Armazena dados,while,A palavra-chave while é usada frequentemente em Python.
PYQ86,Python,Hard,O que a palavra-chave 'for' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Define comportamento,for,A palavra-chave for é usada frequentemente em Python.
PYQ87,Python,Hard,O que a palavra-chave 'if' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Cria condição,if,A palavra-chave if é usada frequentemente em Python.
PYQ88,Python,Dificil,O que a palavra-chave 'if' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Executa repetição,if,A palavra-chave if é usada frequentemente em Python.
PYQ89,Python,Simples,O que a palavra-chave 'funcao' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Armazena dados,funcao,A palavra-chave funcao é usada frequentemente em Python.
PYQ90,Python,Simples,O que a palavra-chave 'print' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Define comportamento,print,A palavra-chave print é usada frequentemente em Python.
PYQ91,Python,Media,O que a palavra-chave 'print' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Executa repetição,print,A palavra-chave print é usada frequentemente em Python.
PYQ92,Python,Media,O que a palavra-chave 'print' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Executa repetição,print,A palavra-chave print é usada frequentemente em Python.
PYQ93,Python,Media,O que a palavra-chave 'while' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Executa repetição,while,A palavra-chave while é usada frequentemente em Python.
PYQ94,Python,Media,O que a palavra-chave 'lista' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Executa repetição,lista,A palavra-chave lista é usada frequentemente em Python.
PYQ95,Python,Simples,O que a palavra-chave 'while' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Armazena dados,while,A palavra-chave while é usada frequentemente em Python.
PYQ96,Python,Dificil,O que a palavra-chave 'if' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Armazena dados,if,A palavra-chave if é usada frequentemente em Python.
PYQ97,Python,Media,O que a palavra-chave 'for' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Define comportamento,for,A palavra-chave for é usada frequentemente em Python.
PYQ98,Python,Media,O que a palavra-chave 'funcao' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Armazena dados,funcao,A palavra-chave funcao é usada frequentemente em Python.
PYQ99,Python,Hard,O que a palavra-chave 'for' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Executa repetição,for,A palavra-chave for é usada frequentemente em Python.
PYQ100,Python,Simples,O que a palavra-chave 'while' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Executa repetição,while,A palavra-chave while é usada frequentemente em Python.
PYQ101,Python,Simples,O que a palavra-chave 'lista' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Cria condição,lista,A palavra-chave lista é usada frequentemente em Python.
PYQ102,Python,Dificil,O que a palavra-chave 'if' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Armazena dados,if,A palavra-chave if é usada frequentemente em Python.
PYQ103,Python,Simples,O que a palavra-chave 'if' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Armazena dados,if,A palavra-chave if é usada frequentemente em Python.
PYQ104,Python,Dificil,O que a palavra-chave 'if' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Define comportamento,if,A palavra-chave if é usada frequentemente em Python.
PYQ105,Python,Dificil,O que a palavra-chave 'lista' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Executa repetição,lista,A palavra-chave lista é usada frequentemente em Python.
PYQ106,Python,Dificil,O que a palavra-chave 'funcao' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Executa repetição,funcao,A palavra-chave funcao é usada frequentemente em Python.
PYQ107,Python,Media,O que a palavra-chave 'for' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Executa repetição,for,A palavra-chave for é usada frequentemente em Python.
PYQ108,Python,Simples,O que a palavra-chave 'funcao' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Cria condição,funcao,A palavra-chave funcao é usada frequentemente em Python.
PYQ109,Python,Dificil,O que a palavra-chave 'for' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Cria condição,for,A palavra-chave for é usada frequentemente em Python.
PYQ110,Python,Dificil,O que a palavra-chave 'if' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Armazena dados,if,A palavra-chave if é usada frequentemente em Python.
PYQ111,Python,Hard,O que a palavra-chave 'for' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Executa repetição,for,A palavra-chave for é usada frequentemente em Python.
PYQ112,Python,Simples,O que a palavra-chave 'funcao' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Define comportamento,funcao,A palavra-chave funcao é usada frequentemente em Python.
PYQ113,Python,Dificil,O que a palavra-chave 'print' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Executa repetição,print,A palavra-chave print é usada frequentemente em Python.
PYQ114,Python,Dificil,O que a palavra-chave 'dicionario' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Cria condição,dicionario,A palavra-chave dicionario é usada frequentemente em Python.
PYQ115,Python,Dificil,O que a palavra-chave 'if' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Define comportamento,if,A palavra-chave if é usada frequentemente em Python.
PYQ116,Python,Hard,O que a palavra-chave 'lista' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Executa repetição,lista,A palavra-chave lista é usada frequentemente em Python.
PYQ117,Python,Simples,O que a palavra-chave 'print' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Cria condição,print,A palavra-chave print é usada frequentemente em Python.
PYQ118,Python,Simples,O que a palavra-chave 'dicionario' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Armazena dados,dicionario,A palavra-chave dicionario é usada frequentemente em Python.
PYQ119,Python,Media,O que a palavra-chave 'while' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Cria condição,while,A palavra-chave while é usada frequentemente em Python.
PYQ120,Python,Simples,O que a palavra-chave 'for' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Armazena dados,for,A palavra-chave for é usada frequentemente em Python.
PYQ121,Python,Simples,O que a palavra-chave 'for' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Cria condição,for,A palavra-chave for é usada frequentemente em Python.
PYQ122,Python,Media,O que a palavra-chave 'funcao' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Executa repetição,funcao,A palavra-chave funcao é usada frequentemente em Python.
PYQ123,Python,Dificil,O que a palavra-chave 'dicionario' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Define comportamento,dicionario,A palavra-chave dicionario é usada frequentemente em Python.
PYQ124,Python,Media,O que a palavra-chave 'if' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Cria condição,if,A palavra-chave if é usada frequentemente em Python.
PYQ125,Python,Media,O que a palavra-chave 'while' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Executa repetição,while,A palavra-chave while é usada frequentemente em Python.
PYQ126,Python,Media,O que a palavra-chave 'funcao' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Armazena dados,funcao,A palavra-chave funcao é usada frequentemente em Python.
PYQ127,Python,Hard,O que a palavra-chave 'dicionario' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Cria condição,dicionario,A palavra-chave dicionario é usada frequentemente em Python.
PYQ128,Python,Dificil,O que a palavra-chave 'if' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Executa repetição,if,A palavra-chave if é usada frequentemente em Python.
PYQ129,Python,Hard,O que a palavra-chave 'dicionario' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Executa repetição,dicionario,A palavra-chave dicionario é usada frequentemente em Python.
PYQ130,Python,Hard,O que a palavra-chave 'if' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Cria condição,if,A palavra-chave if é usada frequentemente em Python.
PYQ131,Python,Hard,O que a palavra-chave 'for' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Armazena dados,for,A palavra-chave for é usada frequentemente em Python.
PYQ132,Python,Media,O que a palavra-chave 'if' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Executa repetição,if,A palavra-chave if é usada frequentemente em Python.
PYQ133,Python,Media,O que a palavra-chave 'while' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Armazena dados,while,A palavra-chave while é usada frequentemente em Python.
PYQ134,Python,Dificil,O que a palavra-chave 'dicionario' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Executa repetição,dicionario,A palavra-chave dicionario é usada frequentemente em Python.
PYQ135,Python,Dificil,O que a palavra-chave 'for' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Define comportamento,for,A palavra-chave for é usada frequentemente em Python.
PYQ136,Python,Dificil,O que a palavra-chave 'print' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Executa repetição,print,A palavra-chave print é usada frequentemente em Python.
PYQ137,Python,Dificil,O que a palavra-chave 'if' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Armazena dados,if,A palavra-chave if é usada frequentemente em Python.
PYQ138,Python,Simples,O que a palavra-chave 'print' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Define comportamento,print,A palavra-chave print é usada frequentemente em Python.
PYQ139,Python,Dificil,O que a palavra-chave 'funcao' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Armazena dados,funcao,A palavra-chave funcao é usada frequentemente em Python.
PYQ140,Python,Hard,O que a palavra-chave 'lista' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Executa repetição,lista,A palavra-chave lista é usada frequentemente em Python.
PYQ141,Python,Hard,O que a palavra-chave 'lista' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Cria condição,lista,A palavra-chave lista é usada frequentemente em Python.
PYQ142,Python,Dificil,O que a palavra-chave 'print' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Define comportamento,print,A palavra-chave print é usada frequentemente em Python.
PYQ143,Python,Simples,O que a palavra-chave 'lista' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Cria condição,lista,A palavra-chave lista é usada frequentemente em Python.
PYQ144,Python,Dificil,O que a palavra-chave 'while' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Executa repetição,while,A palavra-chave while é usada frequentemente em Python.
PYQ145,Python,Dificil,O que a palavra-chave 'lista' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Armazena dados,lista,A palavra-chave lista é usada frequentemente em Python.
PYQ146,Python,Simples,O que a palavra-chave 'funcao' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Armazena dados,funcao,A palavra-chave funcao é usada frequentemente em Python.
PYQ147,Python,Dificil,O que a palavra-chave 'funcao' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Define comportamento,funcao,A palavra-chave funcao é usada frequentemente em Python.
PYQ148,Python,Dificil,O que a palavra-chave 'while' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Armazena dados,while,A palavra-chave while é usada frequentemente em Python.
PYQ149,Python,Media,O que a palavra-chave 'if' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Define comportamento,if,A palavra-chave if é usada frequentemente em Python.
PYQ150,Python,Hard,O que a palavra-chave 'funcao' faz em Python?,Executa repetição,Cria condição,Armazena dados,Define comportamento,Cria condição,funcao,A palavra-chave funcao é usada frequentemente em Python.
