id,linguagem,dificuldade,titulo,descricao,objetivo,palavra_chave,xp_recompensa,tempo_limite_segundos,dica
PYDSI39,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'if' em Python.,Demonstrar uso de if,if,391,120,Pesquise como utilizar if corretamente.
PYDSI40,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'if' em Python.,Demonstrar uso de if,if,99,60,Pesquise como utilizar if corretamente.
PYDSI41,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'lista' em Python.,Demonstrar uso de lista,lista,479,60,Pesquise como utilizar lista corretamente.
PYDSI42,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'print' em Python.,Demonstrar uso de print,print,356,30,Pesquise como utilizar print corretamente.
PYDSI43,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'lista' em Python.,Demonstrar uso de lista,lista,325,60,Pesquise como utilizar lista corretamente.
PYDSI44,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'print' em Python.,Demonstrar uso de print,print,300,30,Pesquise como utilizar print corretamente.
PYDSI45,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'for' em Python.,Demonstrar uso de for,for,154,120,Pesquise como utilizar for corretamente.
PYDSI46,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'lista' em Python.,Demonstrar uso de lista,lista,268,300,Pesquise como utilizar lista corretamente.
PYDSI47,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'lista' em Python.,Demonstrar uso de lista,lista,114,300,Pesquise como utilizar lista corretamente.
PYDSI48,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'for' em Python.,Demonstrar uso de for,for,106,30,Pesquise como utilizar for corretamente.
PYDSI49,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'while' em Python.,Demonstrar uso de while,while,271,300,Pesquise como utilizar while corretamente.
PYDSI50,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'for' em Python.,Demonstrar uso de for,for,94,60,Pesquise como utilizar for corretamente.
PYDSI51,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'for' em Python.,Demonstrar uso de for,for,424,30,Pesquise como utilizar for corretamente.
PYDSI52,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'for' em Python.,Demonstrar uso de for,for,461,30,Pesquise como utilizar for corretamente.
PYDSI53,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'funcao' em Python.,Demonstrar uso de funcao,funcao,456,60,Pesquise como utilizar funcao corretamente.
PYDSI54,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'funcao' em Python.,Demonstrar uso de funcao,funcao,88,120,Pesquise como utilizar funcao corretamente.
PYDSI55,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'if' em Python.,Demonstrar uso de if,if,309,120,Pesquise como utilizar if corretamente.
PYDSI56,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'for' em Python.,Demonstrar uso de for,for,282,30,Pesquise como utilizar for corretamente.
PYDSI57,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'funcao' em Python.,Demonstrar uso de funcao,funcao,402,120,Pesquise como utilizar funcao corretamente.
PYDSI58,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'print' em Python.,Demonstrar uso de print,print,271,30,Pesquise como utilizar print corretamente.
PYDSI59,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'funcao' em Python.,Demonstrar uso de funcao,funcao,456,120,Pesquise como utilizar funcao corretamente.
PYDSI60,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'if' em Python.,Demonstrar uso de if,if,480,30,Pesquise como utilizar if corretamente.
PYDSI61,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'funcao' em Python.,Demonstrar uso de funcao,funcao,371,30,Pesquise como utilizar funcao corretamente.
PYDSI62,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'if' em Python.,Demonstrar uso de if,if,120,300,Pesquise como utilizar if corretamente.
PYDSI63,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'dicionario' em Python.,Demonstrar uso de dicionario,dicionario,162,60,Pesquise como utilizar dicionario corretamente.
PYDSI64,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'for' em Python.,Demonstrar uso de for,for,290,60,Pesquise como utilizar for corretamente.
PYDSI65,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'while' em Python.,Demonstrar uso de while,while,466,60,Pesquise como utilizar while corretamente.
PYDSI66,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'funcao' em Python.,Demonstrar uso de funcao,funcao,304,120,Pesquise como utilizar funcao corretamente.
PYDSI67,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'if' em Python.,Demonstrar uso de if,if,151,30,Pesquise como utilizar if corretamente.
PYDSI68,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'lista' em Python.,Demonstrar uso de lista,lista,488,60,Pesquise como utilizar lista corretamente.
PYDSI69,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'print' em Python.,Demonstrar uso de print,print,272,30,Pesquise como utilizar print corretamente.
PYDSI70,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'while' em Python.,Demonstrar uso de while,while,335,60,Pesquise como utilizar while corretamente.
PYDSI71,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'funcao' em Python.,Demonstrar uso de funcao,funcao,141,30,Pesquise como utilizar funcao corretamente.
PYDSI72,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'while' em Python.,Demonstrar uso de while,while,402,120,Pesquise como utilizar while corretamente.
PYDSI73,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'lista' em Python.,Demonstrar uso de lista,lista,244,60,Pesquise como utilizar lista corretamente.
PYDSI74,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'funcao' em Python.,Demonstrar uso de funcao,funcao,228,300,Pesquise como utilizar funcao corretamente.
PYDSI75,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'lista' em Python.,Demonstrar uso de lista,lista,386,60,Pesquise como utilizar lista corretamente.
PYDSI76,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'for' em Python.,Demonstrar uso de for,for,480,60,Pesquise como utilizar for corretamente.
PYDSI77,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'for' em Python.,Demonstrar uso de for,for,392,300,Pesquise como utilizar for corretamente.
PYDSI78,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'while' em Python.,Demonstrar uso de while,while,457,300,Pesquise como utilizar while corretamente.
PYDSI79,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'lista' em Python.,Demonstrar uso de lista,lista,232,300,Pesquise como utilizar lista corretamente.
PYDSI80,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'for' em Python.,Demonstrar uso de for,for,99,60,Pesquise como utilizar for corretamente.
PYDSI81,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'print' em Python.,Demonstrar uso de print,print,436,120,Pesquise como utilizar print corretamente.
PYDSI82,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'while' em Python.,Demonstrar uso de while,while,278,120,Pesquise como utilizar while corretamente.
PYDSI83,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'if' em Python.,Demonstrar uso de if,if,389,300,Pesquise como utilizar if corretamente.
PYDSI84,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'print' em Python.,Demonstrar uso de print,print,140,300,Pesquise como utilizar print corretamente.
PYDSI85,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'for' em Python.,Demonstrar uso de for,for,388,30,Pesquise como utilizar for corretamente.
PYDSI86,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'for' em Python.,Demonstrar uso de for,for,406,300,Pesquise como utilizar for corretamente.
PYDSI87,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'funcao' em Python.,Demonstrar uso de funcao,funcao,115,300,Pesquise como utilizar funcao corretamente.
PYDSI88,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'dicionario' em Python.,Demonstrar uso de dicionario,dicionario,462,300,Pesquise como utilizar dicionario corretamente.
PYDSI89,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'lista' em Python.,Demonstrar uso de lista,lista,260,60,Pesquise como utilizar lista corretamente.
PYDSI90,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'print' em Python.,Demonstrar uso de print,print,198,120,Pesquise como utilizar print corretamente.
PYDSI91,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'lista' em Python.,Demonstrar uso de lista,lista,160,300,Pesquise como utilizar lista corretamente.
PYDSI92,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'print' em Python.,Demonstrar uso de print,print,337,120,Pesquise como utilizar print corretamente.
PYDSI93,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'for' em Python.,Demonstrar uso de for,for,395,120,Pesquise como utilizar for corretamente.
PYDSI94,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'while' em Python.,Demonstrar uso de while,while,250,300,Pesquise como utilizar while corretamente.
PYDSI95,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'while' em Python.,Demonstrar uso de while,while,254,120,Pesquise como utilizar while corretamente.
PYDSI96,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'print' em Python.,Demonstrar uso de print,print,187,300,Pesquise como utilizar print corretamente.
PYDSI97,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'funcao' em Python.,Demonstrar uso de funcao,funcao,162,120,Pesquise como utilizar funcao corretamente.
PYDSI98,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'funcao' em Python.,Demonstrar uso de funcao,funcao,469,30,Pesquise como utilizar funcao corretamente.
PYDSI99,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'for' em Python.,Demonstrar uso de for,for,279,300,Pesquise como utilizar for corretamente.
PYDSI100,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'if' em Python.,Demonstrar uso de if,if,343,60,Pesquise como utilizar if corretamente.
PYDSI101,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'lista' em Python.,Demonstrar uso de lista,lista,155,30,Pesquise como utilizar lista corretamente.
PYDSI102,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'lista' em Python.,Demonstrar uso de lista,lista,362,120,Pesquise como utilizar lista corretamente.
PYDSI103,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'if' em Python.,Demonstrar uso de if,if,359,30,Pesquise como utilizar if corretamente.
PYDSI104,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'funcao' em Python.,Demonstrar uso de funcao,funcao,60,300,Pesquise como utilizar funcao corretamente.
PYDSI105,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'print' em Python.,Demonstrar uso de print,print,449,120,Pesquise como utilizar print corretamente.
PYDSI106,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'for' em Python.,Demonstrar uso de for,for,442,30,Pesquise como utilizar for corretamente.
PYDSI107,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'funcao' em Python.,Demonstrar uso de funcao,funcao,75,60,Pesquise como utilizar funcao corretamente.
PYDSI108,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'for' em Python.,Demonstrar uso de for,for,324,60,Pesquise como utilizar for corretamente.
PYDSI109,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'if' em Python.,Demonstrar uso de if,if,479,300,Pesquise como utilizar if corretamente.
PYDSI110,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'dicionario' em Python.,Demonstrar uso de dicionario,dicionario,417,60,Pesquise como utilizar dicionario corretamente.
PYDSI111,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'for' em Python.,Demonstrar uso de for,for,460,60,Pesquise como utilizar for corretamente.
PYDSI112,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'for' em Python.,Demonstrar uso de for,for,219,300,Pesquise como utilizar for corretamente.
PYDSI113,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'if' em Python.,Demonstrar uso de if,if,333,60,Pesquise como utilizar if corretamente.
PYDSI114,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'print' em Python.,Demonstrar uso de print,print,68,30,Pesquise como utilizar print corretamente.
PYDSI115,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'dicionario' em Python.,Demonstrar uso de dicionario,dicionario,319,30,Pesquise como utilizar dicionario corretamente.
PYDSI116,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'lista' em Python.,Demonstrar uso de lista,lista,253,300,Pesquise como utilizar lista corretamente.
PYDSI117,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'print' em Python.,Demonstrar uso de print,print,130,120,Pesquise como utilizar print corretamente.
PYDSI118,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'for' em Python.,Demonstrar uso de for,for,62,60,Pesquise como utilizar for corretamente.
PYDSI119,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'funcao' em Python.,Demonstrar uso de funcao,funcao,445,60,Pesquise como utilizar funcao corretamente.
PYDSI120,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'print' em Python.,Demonstrar uso de print,print,189,30,Pesquise como utilizar print corretamente.
PYDSI121,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'dicionario' em Python.,Demonstrar uso de dicionario,dicionario,451,300,Pesquise como utilizar dicionario corretamente.
PYDSI122,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'funcao' em Python.,Demonstrar uso de funcao,funcao,255,60,Pesquise como utilizar funcao corretamente.
PYDSI123,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'dicionario' em Python.,Demonstrar uso de dicionario,dicionario,429,120,Pesquise como utilizar dicionario corretamente.
PYDSI124,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'dicionario' em Python.,Demonstrar uso de dicionario,dicionario,93,30,Pesquise como utilizar dicionario corretamente.
PYDSI125,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'print' em Python.,Demonstrar uso de print,print,308,300,Pesquise como utilizar print corretamente.
PYDSI126,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'print' em Python.,Demonstrar uso de print,print,57,60,Pesquise como utilizar print corretamente.
PYDSI127,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'print' em Python.,Demonstrar uso de print,print,426,300,Pesquise como utilizar print corretamente.
PYDSI128,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'if' em Python.,Demonstrar uso de if,if,475,120,Pesquise como utilizar if corretamente.
PYDSI129,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'dicionario' em Python.,Demonstrar uso de dicionario,dicionario,215,300,Pesquise como utilizar dicionario corretamente.
PYDSI130,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'lista' em Python.,Demonstrar uso de lista,lista,430,30,Pesquise como utilizar lista corretamente.
PYDSI131,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'for' em Python.,Demonstrar uso de for,for,190,300,Pesquise como utilizar for corretamente.
PYDSI132,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'if' em Python.,Demonstrar uso de if,if,101,120,Pesquise como utilizar if corretamente.
PYDSI133,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'funcao' em Python.,Demonstrar uso de funcao,funcao,345,300,Pesquise como utilizar funcao corretamente.
PYDSI134,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'while' em Python.,Demonstrar uso de while,while,199,300,Pesquise como utilizar while corretamente.
PYDSI135,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'print' em Python.,Demonstrar uso de print,print,163,300,Pesquise como utilizar print corretamente.
PYDSI136,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'lista' em Python.,Demonstrar uso de lista,lista,192,300,Pesquise como utilizar lista corretamente.
PYDSI137,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'for' em Python.,Demonstrar uso de for,for,409,60,Pesquise como utilizar for corretamente.
PYDSI138,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'while' em Python.,Demonstrar uso de while,while,58,300,Pesquise como utilizar while corretamente.
PYDSI139,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'funcao' em Python.,Demonstrar uso de funcao,funcao,251,120,Pesquise como utilizar funcao corretamente.
PYDSI140,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'dicionario' em Python.,Demonstrar uso de dicionario,dicionario,329,30,Pesquise como utilizar dicionario corretamente.
PYDSI141,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'while' em Python.,Demonstrar uso de while,while,164,30,Pesquise como utilizar while corretamente.
PYDSI142,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'while' em Python.,Demonstrar uso de while,while,444,60,Pesquise como utilizar while corretamente.
PYDSI143,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'while' em Python.,Demonstrar uso de while,while,239,300,Pesquise como utilizar while corretamente.
PYDSI144,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'lista' em Python.,Demonstrar uso de lista,lista,105,120,Pesquise como utilizar lista corretamente.
PYDSI145,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'for' em Python.,Demonstrar uso de for,for,123,30,Pesquise como utilizar for corretamente.
PYDSI146,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'print' em Python.,Demonstrar uso de print,print,337,60,Pesquise como utilizar print corretamente.
PYDSI147,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'if' em Python.,Demonstrar uso de if,if,492,300,Pesquise como utilizar if corretamente.
PYDSI148,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'lista' em Python.,Demonstrar uso de lista,lista,177,30,Pesquise como utilizar lista corretamente.
PYDSI149,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'if' em Python.,Demonstrar uso de if,if,256,300,Pesquise como utilizar if corretamente.
PYDSI150,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'lista' em Python.,Demonstrar uso de lista,lista,420,60,Pesquise como utilizar lista corretamente.
PYDSI151,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'print' em Python.,Demonstrar uso de print,print,442,300,Pesquise como utilizar print corretamente.
PYDSI152,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'for' em Python.,Demonstrar uso de for,for,260,120,Pesquise como utilizar for corretamente.
PYDSI153,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'funcao' em Python.,Demonstrar uso de funcao,funcao,222,60,Pesquise como utilizar funcao corretamente.
PYDSI154,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'print' em Python.,Demonstrar uso de print,print,214,300,Pesquise como utilizar print corretamente.
PYDSI155,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'dicionario' em Python.,Demonstrar uso de dicionario,dicionario,52,120,Pesquise como utilizar dicionario corretamente.
PYDSI156,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'funcao' em Python.,Demonstrar uso de funcao,funcao,157,300,Pesquise como utilizar funcao corretamente.
PYDSI157,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'lista' em Python.,Demonstrar uso de lista,lista,305,120,Pesquise como utilizar lista corretamente.
PYDSI158,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'funcao' em Python.,Demonstrar uso de funcao,funcao,170,120,Pesquise como utilizar funcao corretamente.
PYDSI159,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'while' em Python.,Demonstrar uso de while,while,412,300,Pesquise como utilizar while corretamente.
PYDSI160,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'lista' em Python.,Demonstrar uso de lista,lista,334,30,Pesquise como utilizar lista corretamente.
PYDSI161,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'print' em Python.,Demonstrar uso de print,print,267,30,Pesquise como utilizar print corretamente.
PYDSI162,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'while' em Python.,Demonstrar uso de while,while,115,30,Pesquise como utilizar while corretamente.
PYDSI163,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'if' em Python.,Demonstrar uso de if,if,316,30,Pesquise como utilizar if corretamente.
PYDSI164,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'if' em Python.,Demonstrar uso de if,if,151,300,Pesquise como utilizar if corretamente.
PYDSI165,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'dicionario' em Python.,Demonstrar uso de dicionario,dicionario,108,30,Pesquise como utilizar dicionario corretamente.
PYDSI166,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'while' em Python.,Demonstrar uso de while,while,303,60,Pesquise como utilizar while corretamente.
PYDSI167,Python,Simples,Desafio Simples de Python,Crie um exemplo utilizando 'funcao' em Python.,Demonstrar uso de funcao,funcao,461,300,Pesquise como utilizar funcao corretamente.
